id,time(utc timestamp),amount(USD),price,side
126,1617356379727000,289150.0,61012.5,buy
127,1617356379727000,1820.0,61016.0,buy
128,1617356379727000,284220.0,61019.0,buy
129,1617356400508000,110.0,60928.5,buy
130,1617356400508000,212110.0,60974.0,buy
131,1617356400508000,2000.0,60974.5,buy
132,1617356400508000,6000.0,60982.0,buy
133,1617356400508000,8000.0,61007.5,buy
134,1617356400508000,1810.0,61012.0,buy
135,1617356400508000,318160.0,61014.0,buy
136,1617356400508000,1820.0,61016.0,buy
137,1617356400508000,366160.0,61027.5,buy
138,1617356400508000,83830.0,61042.5,buy
139,1617356494387000,2340.0,60973.0,buy
140,1617356494387000,2000.0,60995.0,buy
141,1617356494387000,6200.0,61000.0,buy
142,1617356494387000,202860.0,61014.0,buy
143,1617356494387000,8000.0,61034.0,buy
144,1617356494387000,366240.0,61039.5,buy
145,1617356494387000,100000.0,61048.5,buy
146,1617356494387000,304280.0,61063.5,buy
147,1617356494387000,8080.0,61078.5,buy
148,1617356521676000,2200.0,61004.5,buy
149,1617356521676000,6000.0,61012.5,buy
150,1617356521676000,202860.0,61014.0,buy
151,1617356521676000,2190.0,61017.5,buy
152,1617356521676000,8000.0,61034.0,buy
153,1617356521676000,100000.0,61048.5,buy
154,1617356521676000,366330.0,61054.5,buy
155,1617356521676000,304280.0,61063.5,buy
156,1617356521676000,8140.0,61078.5,buy
157,1617356587137000,213770.0,60970.5,buy
158,1617356587137000,2200.0,60973.5,buy
159,1617356587137000,2830.0,60992.5,buy
160,1617356587137000,6000.0,60994.5,buy
161,1617356587137000,320660.0,61009.0,buy
162,1617356587137000,8000.0,61013.0,buy
163,1617356587137000,100000.0,61016.5,buy
164,1617356587137000,2190.0,61017.5,buy
165,1617356587137000,344350.0,61036.0,buy
166,1617356670660000,2200.0,60964.0,buy
167,1617356670660000,175250.0,60964.5,buy
168,1617356670660000,6000.0,60967.0,buy
169,1617356670660000,8000.0,60991.5,buy
170,1617356670660000,2910.0,60992.0,buy
171,1617356670660000,100000.0,61005.5,buy
172,1617356670660000,366050.0,61008.0,buy
173,1617356670660000,262880.0,61010.0,buy
174,1617356670660000,2190.0,61017.5,buy
175,1617356670660000,74520.0,61056.0,buy
176,1617356726007000,211450.0,60955.5,buy
177,1617356726007000,4690.0,60978.5,buy
178,1617356726007000,6000.0,60980.0,buy
179,1617356726007000,200.0,60982.0,buy
180,1617356726007000,317170.0,60997.0,buy
181,1617356726007000,100000.0,61008.0,buy
182,1617356726007000,8000.0,61009.5,buy
183,1617356726007000,352490.0,61010.0,buy
184,1617356766493000,166910.0,60960.0,buy
185,1617356766493000,10990.0,60969.0,buy
186,1617356766493000,8000.0,60974.0,buy
187,1617356766493000,2830.0,60992.5,buy
188,1617356766493000,250360.0,61000.5,buy
189,1617356766493000,366040.0,61006.5,buy
190,1617356766493000,100000.0,61008.0,buy
191,1617356766493000,2190.0,61017.5,buy
192,1617356766493000,8000.0,61018.5,buy
193,1617356766493000,84680.0,61041.5,buy
194,1617356826092000,2000.0,60986.5,buy
195,1617356826092000,194330.0,60995.5,buy
196,1617356826092000,6000.0,61000.5,buy
197,1617356826092000,2420.0,61027.5,buy
198,1617356826092000,374220.0,61037.5,buy
199,1617356826092000,100000.0,61039.0,buy
200,1617356826092000,291490.0,61041.5,buy
201,1617356826092000,1810.0,61056.0,buy
202,1617356826092000,16000.0,61086.0,buy
203,1617356826092000,11730.0,61087.5,buy
204,1617356894973000,190380.0,61041.0,buy
205,1617356894973000,700.0,61055.5,buy
206,1617356894973000,2080.0,61070.5,buy
